year,month,date,site,transect,replicate,size_mm,count,num_ao,area
2012,8,8/20/12,ivee,1,A,NA,0,0,300
2012,8,8/20/12,ivee,1,B,NA,0,0,300
2012,8,8/20/12,ivee,1,C,NA,0,0,300
2012,8,8/20/12,ivee,1,D,NA,0,0,300
2012,8,8/20/12,ivee,2,A,NA,0,0,300
2012,8,8/20/12,ivee,2,B,NA,0,0,300
2012,8,8/20/12,ivee,2,C,NA,0,0,300
2012,8,8/20/12,ivee,2,D,NA,0,0,300
2012,8,8/20/12,ivee,3,A,70,1,0,300
2012,8,8/20/12,ivee,3,B,60,1,0,300
2012,8,8/20/12,ivee,3,B,65,1,0,300
2012,8,8/20/12,ivee,3,B,70,1,0,300
2012,8,8/20/12,ivee,3,B,85,1,0,300
2012,8,8/20/12,ivee,3,C,60,1,0,300
2012,8,8/20/12,ivee,3,C,65,1,0,300
2012,8,8/20/12,ivee,3,C,67,1,0,300
2012,8,8/20/12,ivee,3,D,70,1,0,300
2012,8,8/20/12,ivee,4,A,NA,0,0,300
2012,8,8/20/12,ivee,4,B,85,1,0,300
2012,8,8/20/12,ivee,4,C,NA,0,0,300
2012,8,8/20/12,ivee,4,D,NA,0,0,300
2012,8,8/20/12,ivee,5,A,52,1,0,300
2012,8,8/20/12,ivee,5,A,60,1,0,300
2012,8,8/20/12,ivee,5,A,64,1,0,300
2012,8,8/20/12,ivee,5,A,70,1,0,300
2012,8,8/20/12,ivee,5,B,58,1,0,300
2012,8,8/20/12,ivee,5,B,60,2,0,300
2012,8,8/20/12,ivee,5,B,62,1,0,300
2012,8,8/20/12,ivee,5,B,86,1,0,300
2012,8,8/20/12,ivee,5,B,105,1,0,300
2012,8,8/20/12,ivee,5,C,NA,0,0,300
2012,8,8/20/12,ivee,5,D,NA,0,0,300
2012,8,8/20/12,ivee,6,A,NA,0,0,300
2012,8,8/20/12,ivee,6,B,57,1,0,300
2012,8,8/20/12,ivee,6,B,60,1,0,300
2012,8,8/20/12,ivee,6,C,NA,0,0,300
2012,8,8/20/12,ivee,6,D,NA,0,0,300
2012,8,8/20/12,ivee,7,A,NA,0,0,300
2012,8,8/20/12,ivee,7,B,NA,0,0,300
2012,8,8/20/12,ivee,7,C,NA,0,0,300
2012,8,8/20/12,ivee,7,D,53,1,0,300
2012,8,8/20/12,ivee,7,D,56,1,0,300
2012,8,8/20/12,ivee,8,A,NA,0,0,300
2012,8,8/20/12,ivee,8,B,NA,0,0,300
2012,8,8/20/12,ivee,8,C,NA,0,0,300
2012,8,8/20/12,ivee,8,D,58,1,0,300
2012,8,8/20/12,ivee,8,D,60,1,0,300
2012,8,8/22/12,napl,1,A,NA,0,0,300
2012,8,8/22/12,napl,1,B,NA,0,0,300
2012,8,8/22/12,napl,1,C,NA,0,0,300
2012,8,8/22/12,napl,1,D,83,1,0,300
2012,8,8/22/12,napl,2,A,NA,0,0,300
2012,8,8/22/12,napl,2,B,75,1,0,300
2012,8,8/22/12,napl,2,C,NA,0,0,300
2012,8,8/22/12,napl,2,D,NA,0,0,300
2012,8,8/22/12,napl,3,A,NA,0,0,300
2012,8,8/22/12,napl,3,B,60,1,0,300
2012,8,8/22/12,napl,3,B,65,2,0,300
2012,8,8/22/12,napl,3,C,NA,0,0,300
2012,8,8/22/12,napl,3,D,NA,0,0,300
2012,8,8/22/12,napl,4,A,NA,0,0,300
2012,8,8/22/12,napl,4,B,NA,0,0,300
2012,8,8/22/12,napl,4,C,NA,0,0,300
2012,8,8/22/12,napl,4,D,NA,0,0,300
2012,8,8/22/12,napl,5,A,NA,0,0,300
2012,8,8/22/12,napl,5,B,NA,0,0,300
2012,8,8/22/12,napl,5,C,NA,0,0,300
2012,8,8/22/12,napl,5,D,90,1,0,300
2012,8,8/22/12,napl,6,A,NA,0,0,300
2012,8,8/22/12,napl,6,B,NA,0,0,300
2012,8,8/22/12,napl,6,C,NA,0,0,300
2012,8,8/22/12,napl,6,D,NA,0,0,300
2012,8,8/22/12,napl,7,A,NA,0,0,300
2012,8,8/22/12,napl,7,B,NA,0,0,300
2012,8,8/22/12,napl,7,C,NA,0,0,300
2012,8,8/22/12,napl,7,D,NA,0,0,300
2012,8,8/22/12,napl,8,A,NA,0,0,300
2012,8,8/22/12,napl,8,B,NA,0,0,300
2012,8,8/22/12,napl,8,C,NA,0,0,300
2012,8,8/22/12,napl,8,D,NA,0,0,300
2012,8,8/22/12,napl,9,A,NA,0,0,300
2012,8,8/22/12,napl,9,B,NA,0,0,300
2012,8,8/22/12,napl,9,C,NA,0,0,300
2012,8,8/22/12,napl,9,D,NA,0,0,300
2012,8,8/24/12,aque,1,A,NA,0,0,300
2012,8,8/24/12,aque,1,B,NA,0,0,300
2012,8,8/24/12,aque,1,C,55,1,0,300
2012,8,8/24/12,aque,1,D,58,1,0,300
2012,8,8/24/12,aque,1,D,63,1,0,300
2012,8,8/24/12,aque,1,D,70,1,0,300
2012,8,8/24/12,aque,1,D,75,1,0,300
2012,8,8/24/12,aque,2,A,72,1,0,300
2012,8,8/24/12,aque,2,B,57,1,0,300
2012,8,8/24/12,aque,2,B,60,1,0,300
2012,8,8/24/12,aque,2,B,62,1,0,300
2012,8,8/24/12,aque,2,B,64,1,0,300
2012,8,8/24/12,aque,2,B,66,1,0,300
2012,8,8/24/12,aque,2,B,85,1,0,300
2012,8,8/24/12,aque,2,C,60,1,0,300
2012,8,8/24/12,aque,2,C,68,1,0,300
2012,8,8/24/12,aque,2,D,NA,0,0,300
2012,8,8/24/12,aque,3,A,NA,0,0,300
2012,8,8/24/12,aque,3,B,NA,0,0,300
2012,8,8/24/12,aque,3,C,NA,0,0,300
2012,8,8/24/12,aque,3,D,NA,0,0,300
2012,8,8/24/12,aque,4,A,62,1,0,300
2012,8,8/24/12,aque,4,A,70,1,0,300
